temperature,pH,substrate_conc,enzyme_conc,objective_value,specific_activity,qc_passed,qc_details,absorbance,enzyme_stability_index,exp_id
42.78921688767318,6.988161300889982,99.30533906581559,0.8887516744113445,54.27094326727018,54.27094326727018,True,"{'temperature_stable': True, 'pH_stable': True, 'signal_adequate': np.True_, 'not_saturated': np.True_}",0.5427094326727018,0.7043155668661737,init_1
37.957391416235495,6.433950660225495,161.6172113900712,0.9104983883022875,35.556093199097276,35.556093199097276,True,"{'temperature_stable': True, 'pH_stable': True, 'signal_adequate': np.True_, 'not_saturated': np.True_}",0.3555609319909728,0.5197244740850993,init_2
25.24998768665046,8.140387990086072,40.48280288151062,1.2661233958158022,19.192638765887242,19.192638765887242,True,"{'temperature_stable': True, 'pH_stable': True, 'signal_adequate': np.True_, 'not_saturated': np.True_}",0.19192638765887243,0.2619907659028537,init_3
34.479384094604754,7.222429327953552,100.12436202301855,2.5792933434271093,207.15197725491555,207.15197725491555,False,"{'temperature_stable': True, 'pH_stable': True, 'signal_adequate': np.True_, 'not_saturated': np.False_}",2.0715197725491556,0.9361137092030076,init_4
33.32859209991045,6.2617282679484765,174.61330950261598,0.8856700063924989,18.081016883986038,18.081016883986038,True,"{'temperature_stable': True, 'pH_stable': True, 'signal_adequate': np.True_, 'not_saturated': np.True_}",0.18081016883986037,0.37032604623755105,init_5
35.530045784343834,7.854893782095056,53.96120085560335,2.0997342635173526,112.80310134419683,112.80310134419683,True,"{'temperature_stable': True, 'pH_stable': True, 'signal_adequate': np.True_, 'not_saturated': np.True_}",1.1280310134419684,0.8532475518700269,init_6
32.42528345783873,8.387790537992478,78.31522960034059,0.5084619094645786,16.75472836964006,16.75472836964006,True,"{'temperature_stable': True, 'pH_stable': True, 'signal_adequate': np.True_, 'not_saturated': np.True_}",0.1675472836964006,0.439145743392337,init_7
35.07213622924547,6.466241969357106,165.06942432756054,1.1523169471691017,40.408952966016095,40.408952966016095,True,"{'temperature_stable': True, 'pH_stable': True, 'signal_adequate': np.True_, 'not_saturated': np.True_}",0.40408952966016093,0.5319003812840786,init_8
28.189326888968957,6.798652331617029,23.837602170534534,1.7514508309558776,34.15978953699022,34.15978953699022,True,"{'temperature_stable': True, 'pH_stable': True, 'signal_adequate': np.True_, 'not_saturated': np.True_}",0.34159789536990215,0.4537506874117108,init_9
31.19957407766889,8.250666172922198,62.71431156803924,0.620359527718521,19.230078681032474,19.230078681032474,True,"{'temperature_stable': True, 'pH_stable': True, 'signal_adequate': np.True_, 'not_saturated': np.True_}",0.19230078681032473,0.4789455816740526,init_10
42.38923508747108,6.208892847802135,139.6509023253758,1.03395629967093,27.487474117746213,27.487474117746213,True,"{'temperature_stable': True, 'pH_stable': True, 'signal_adequate': np.True_, 'not_saturated': np.True_}",0.27487474117746213,0.3051575916523158,init_11
27.004320317965416,7.312825209098468,48.327715896894986,2.394705924544624,77.06793469604752,77.06793469604752,True,"{'temperature_stable': True, 'pH_stable': True, 'signal_adequate': np.True_, 'not_saturated': np.True_}",0.7706793469604751,0.49702153607299404,init_12
32.911288516738274,7.266579433890285,100.27906822898251,2.8983373669264263,199.70068967532518,199.70068967532518,True,"{'temperature_stable': True, 'pH_stable': True, 'signal_adequate': np.True_, 'not_saturated': np.True_}",1.9970068967532517,0.8794522431786459,opt_1
34.319731868401156,8.5,101.52350510592616,1.7463960955378086,57.886009767447554,57.886009767447554,True,"{'temperature_stable': True, 'pH_stable': True, 'signal_adequate': np.True_, 'not_saturated': np.True_}",0.5788600976744755,0.41058777985887746,opt_2
